"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2022-04-»ó","±ñ¸¶´Ã(¼öÀÔ)","14370","52287000","2300","524.8",,"0.0","18735","-23.3",,"0.0"
"2022-03-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","11370","38148000","650","1649.2","1365000","2694.7","21950","-48.2","44736935","-14.7"
"2022-03-Áß","±ñ¸¶´Ã(¼öÀÔ)","5890","15076000","4350","35.4","4200000","259.0","23161","-74.6","12055334","25.1"
"2022-03-»ó","±ñ¸¶´Ã(¼öÀÔ)","2180","7645000","2800","-22.1",,"0.0","24017","-90.9",,"0.0"
"2022-02-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","6490","21076000","4300","50.9","9030000","133.4","19981","-67.5","34891978","-39.6"
"2022-02-Áß","±ñ¸¶´Ã(¼öÀÔ)","1950","7530000","2500","-22.0","5250000","43.4","23022","-91.5","38397834","-80.4"
"2022-02-»ó","±ñ¸¶´Ã(¼öÀÔ)","1390","4596000","4900","-71.6","10290000","-55.3","23868","-94.2","47112306","-90.2"
"2022-01-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","2230","8742000","4300","-48.1","9030000","-3.2","24287","-90.8","42280292","-79.3"
"2022-01-Áß","±ñ¸¶´Ã(¼öÀÔ)","10080","35052000","2780","262.6","6270000","459.0","22209","-54.6","38671201","-9.4"
"2022-01-»ó","±ñ¸¶´Ã(¼öÀÔ)","3220","13713000","3420","-5.8","7835000","75.0","21488","-85.0","40634408","-66.3"
"2021-12-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","1670","7024000","8300","-79.9","17430000","-59.7","21338","-92.2","41929263","-83.2"
"2021-12-Áß","±ñ¸¶´Ã(¼öÀÔ)","4890","14588000","8300","-41.1","17430000","-16.3","19291","-74.7","39060601","-62.7"
"2021-12-»ó","±ñ¸¶´Ã(¼öÀÔ)","570","1746000","2600","-78.1","5460000","-68.0","19332","-97.1","40668702","-95.7"
"2021-11-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","1010","2326000","500","102.0","1050000","121.5","9533","-89.4","19574066","-88.1"
"2021-11-Áß","±ñ¸¶´Ã(¼öÀÔ)","570","1254000","5000","-88.6","10500000","-88.1","11292","-95.0","21677734","-94.2"
"2021-11-»ó","±ñ¸¶´Ã(¼öÀÔ)","1150","2530000","1300","-11.5","2730000","-7.3","3896","-70.5","7785934","-67.5"
"2021-10-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","730","1533000","20320","-96.4","42672000","-96.4","21219","-96.6","47148250","-96.7"
"2021-10-Áß","±ñ¸¶´Ã(¼öÀÔ)","1210","2541000","5330","-77.3","10593000","-76.0","16189","-92.5","36766648","-93.1"
"2021-10-»ó","±ñ¸¶´Ã(¼öÀÔ)","630","1323000","2150","-70.7","4115000","-67.8","15318","-95.9","34768975","-96.2"
"2021-09-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","860","1806000","2800","-69.3","5380000","-66.4","10760","-92.0","24090000","-92.5"
"2021-09-Áß","±ñ¸¶´Ã(¼öÀÔ)","610","1281000","1000","-39.0","1900000","-32.6","4815","-87.3","10190300","-87.4"
"2021-09-»ó","±ñ¸¶´Ã(¼öÀÔ)","1060","2226000","5050","-79.0","9625000","-76.9","15332","-93.1","33417735","-93.3"
"2021-08-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","300","630000","5700","-94.7","10630000","-94.1","16590","-98.2","34573733","-98.2"
"2021-08-Áß","±ñ¸¶´Ã(¼öÀÔ)","300","630000","2570","-88.3","4478000","-85.9","4440","-93.2","9072000","-93.1"
"2021-08-»ó","±ñ¸¶´Ã(¼öÀÔ)","2550","5355000","2650","-3.8","4572000","17.1","13263","-80.8","27789500","-80.7"
"2021-07-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","600","1260000","6850","-91.2","11835000","-89.4","17553","-96.6","39395667","-96.8"
"2021-07-Áß","±ñ¸¶´Ã(¼öÀÔ)","300","630000","500","-40.0","850000","-25.9","3939","-92.4","7197700","-91.2"
"2021-07-»ó","±ñ¸¶´Ã(¼öÀÔ)","300","630000","4760","-93.7","8118000","-92.2","20399","-98.5","38159932","-98.3"
"2021-06-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","2600","5460000","11520","-77.4","19688000","-72.3","15820","-83.6","28954735","-81.1"
"2021-06-Áß","±ñ¸¶´Ã(¼öÀÔ)","300","630000",,"0.0",,"0.0",,"0.0",,"0.0"
"2021-06-»ó","±ñ¸¶´Ã(¼öÀÔ)","300","630000",,"0.0",,"0.0",,"0.0",,"0.0"
"2021-05-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","7100","14910000","6640","6.9","5950000","150.6","23622","-69.9","32524500","-54.2"
"2021-05-Áß","±ñ¸¶´Ã(¼öÀÔ)","300","630000","6250","-95.2",,"0.0","22076","-98.6",,"0.0"
"2021-05-»ó","±ñ¸¶´Ã(¼öÀÔ)","2600","5460000","1500","73.3",,"0.0","9006","-71.1",,"0.0"
"2021-04-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","600","1260000","2500","-76.0","4250000","-70.4","13165","-95.4","31294667","-96.0"
"2021-04-Áß","±ñ¸¶´Ã(¼öÀÔ)","2300","4830000","5380","-57.2","9288000","-48.0","22645","-89.8","57150500","-91.5"
"2021-04-»ó","±ñ¸¶´Ã(¼öÀÔ)","2300","4830000","7940","-71.0","13613000","-64.5","23188","-90.1","59557000","-91.9"
"2021-03-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","650","1365000","19150","-96.6","32768000","-95.8","26865","-97.6","50413667","-97.3"
"2021-03-Áß","±ñ¸¶´Ã(¼öÀÔ)","4350","9135000","18070","-75.9","30818000","-70.4","25467","-82.9","64639868","-85.9"
"2021-03-»ó","±ñ¸¶´Ã(¼öÀÔ)","2800","5880000","17060","-83.6","29191000","-79.9","26162","-89.3","69327200","-91.5"
"2021-02-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","4300","9030000","12300","-65.0","21000000","-57.0","19946","-78.4","54618348","-83.5"
"2021-02-Áß","±ñ¸¶´Ã(¼öÀÔ)","2500","5250000","17900","-86.0","30512000","-82.8","26390","-90.5","67698865","-92.2"
"2021-02-»ó","±ñ¸¶´Ã(¼öÀÔ)","4900","10290000","17130","-71.4","29317000","-64.9","25806","-81.0","59868068","-82.8"
"2021-01-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","4300","9030000","16050","-73.2","27371000","-67.0","28053","-84.7","71635212","-87.4"
"2021-01-Áß","±ñ¸¶´Ã(¼öÀÔ)","2780","6270000","17320","-83.9","29658000","-78.9","25815","-89.2","68920316","-90.9"
"2021-01-»ó","±ñ¸¶´Ã(¼öÀÔ)","3420","7835000","15990","-78.6","27471000","-71.5","24321","-85.9","58129529","-86.5"
"2020-12-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","8300","17430000","17600","-52.8","29970000","-41.8","25889","-67.9","56926596","-69.4"
"2020-12-Áß","±ñ¸¶´Ã(¼öÀÔ)","8300","17430000","18010","-53.9","30708000","-43.2","24876","-66.6","48179599","-63.8"
"2020-12-»ó","±ñ¸¶´Ã(¼öÀÔ)","2600","5460000","17020","-84.7","29099000","-81.2","25403","-89.8","50181001","-89.1"
"2020-11-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","3320","6972000","18160","-81.7","30876000","-77.4","23113","-85.6","50527334","-86.2"
