"∞≈∑°¿œ¿⁄","«∞∏Ò∏Ì","π›¿‘∑Æ","±›æ◊","¿¸≥‚ π›¿‘∑Æ","¿¸≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","¿¸≥‚ ±›æ◊","¿¸≥‚ ±›æ◊ ¡ı∞®∑¸(%)","∆Ú≥‚ π›¿‘∑Æ","∆Ú≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","∆Ú≥‚ ±›æ◊","∆Ú≥‚ ±›æ◊ ¡ı∞®∑¸(%)"
"2022-05-ªÛ","Ω”πË√ﬂ","852189","2028823300","817074","4.3","1327352800","52.8","975809","-12.7","1169570041","73.5"
"2022-04-«œ","Ω”πË√ﬂ","755792","1854318400","938049","-19.4","903266800","105.3","1002005","-24.6","948956942","95.4"
"2022-04-¡ﬂ","Ω”πË√ﬂ","818225","2000051000","723052","13.2",,"0.0","846726","-3.4",,"0.0"
"2022-04-ªÛ","Ω”πË√ﬂ","698076","1890237400","813043","-14.1",,"0.0","874767","-20.2",,"0.0"
"2022-03-«œ","Ω”πË√ﬂ","901426","2453290500","878846","2.6","1662107300","47.6","952815","-5.4","1785389163","37.4"
"2022-03-¡ﬂ","Ω”πË√ﬂ","579884","1613937500","841604","-31.1","677798700","138.1","888742","-34.8","615541210","162.2"
"2022-03-ªÛ","Ω”πË√ﬂ","756734","1955264400","1048318","-27.8",,"0.0","973926","-22.3",,"0.0"
"2022-02-«œ","Ω”πË√ﬂ","699642","1622089300","760996","-8.1","820990900","97.6","786363","-11.0","1119264077","44.9"
"2022-02-¡ﬂ","Ω”πË√ﬂ","749294","1489456500","591080","26.8","647095800","130.2","970067","-22.8","1340411986","11.1"
"2022-02-ªÛ","Ω”πË√ﬂ","709703","1375028700","1534242","-53.7","1861952400","-26.2","1089093","-34.8","1723790709","-20.2"
"2022-01-«œ","Ω”πË√ﬂ","1235736","2591614900","1048914","17.8","1188274600","118.1","1185659","4.2","1555213525","66.6"
"2022-01-¡ﬂ","Ω”πË√ﬂ","937511","1858648100","1082388","-13.4","1496908800","24.2","1149295","-18.4","1542123337","20.5"
"2022-01-ªÛ","Ω”πË√ﬂ","797324","1354648300","562635","41.7","690955600","96.1","1135405","-29.8","1508571893","-10.2"
"2021-12-«œ","Ω”πË√ﬂ","971741","1717340100","1148722","-15.4","1307152100","31.4","1174608","-17.3","1600440680","7.3"
"2021-12-¡ﬂ","Ω”πË√ﬂ","750370","1123156200","738575","1.6","727639100","54.4","922908","-18.7","1202812626","-6.6"
"2021-12-ªÛ","Ω”πË√ﬂ","846009","1460300000","933815","-9.4","961460600","51.9","940585","-10.1","1056206134","38.3"
"2021-11-«œ","Ω”πË√ﬂ","801430","1271298400","902399","-11.2","897628700","41.6","1024850","-21.8","1190853288","6.8"
"2021-11-¡ﬂ","Ω”πË√ﬂ","984612","1904100000","1087303","-9.4","1074790200","77.2","1074756","-8.4","1317844323","44.5"
"2021-11-ªÛ","Ω”πË√ﬂ","976168","1597317100","992287","-1.6","1178381500","35.6","1167718","-16.4","1500694984","6.4"
"2021-10-«œ","Ω”πË√ﬂ","1098140","1903181900","1173339","-6.4","1571316200","21.1","1189247","-7.7","1683614872","13.0"
"2021-10-¡ﬂ","Ω”πË√ﬂ","1086461","1557633300","1028269","5.7","1653703800","-5.8","1107028","-1.9","1736075163","-10.3"
"2021-10-ªÛ","Ω”πË√ﬂ","896964","1152543600","615281","45.8","1425018000","-19.1","944904","-5.1","2119632870","-45.6"
"2021-09-«œ","Ω”πË√ﬂ","919951","1427486300","885656","3.9","3622582300","-60.6","1041720","-11.7","2306273561","-38.1"
"2021-09-¡ﬂ","Ω”πË√ﬂ","1220450","2981696600","433444","181.6","2071792000","43.9","931408","31.0","2384730598","25.0"
"2021-09-ªÛ","Ω”πË√ﬂ","998976","2058337000","403344","147.7","1793658000","14.8","748925","33.4","2265486428","-9.1"
"2021-08-«œ","Ω”πË√ﬂ","893742","1909651900","604883","47.8","2178083100","-12.3","686758","30.1","2063822747","-7.5"
"2021-08-¡ﬂ","Ω”πË√ﬂ","830867","1867983400","842045","-1.3","2427878300","-23.1","731756","13.5","1748627653","6.8"
"2021-08-ªÛ","Ω”πË√ﬂ","656456","1808692600","784945","-16.4","1655134600","9.3","836014","-21.5","1815399384","-0.4"
"2021-07-«œ","Ω”πË√ﬂ","970338","1435432500","978407","-0.8","1803856900","-20.4","922963","5.1","1673325892","-14.2"
"2021-07-¡ﬂ","Ω”πË√ﬂ","780058","976609700","796373","-2.0","1362276400","-28.3","868691","-10.2","1495206142","-34.7"
"2021-07-ªÛ","Ω”πË√ﬂ","1043343","1301689000","975548","6.9","1363377600","-4.5","906291","15.1","1229133298","5.9"
"2021-06-«œ","Ω”πË√ﬂ","983864","1441145400","623289","57.9","1190628200","21.0","694607","41.6","870970755","65.5"
"2021-06-¡ﬂ","Ω”πË√ﬂ","786671","981243000",,"0.0",,"0.0",,"0.0",,"0.0"
"2021-06-ªÛ","Ω”πË√ﬂ","964347","1176097100",,"0.0",,"0.0",,"0.0",,"0.0"
"2021-05-«œ","Ω”πË√ﬂ","912605","1236253200","861956","5.9","1122177500","10.2","1054705","-13.5","965574903","28.0"
"2021-05-¡ﬂ","Ω”πË√ﬂ","910820","1348863200","835762","9.0",,"0.0","983356","-7.4",,"0.0"
"2021-05-ªÛ","Ω”πË√ﬂ","817074","1327352800","706855","15.6",,"0.0","931260","-12.3",,"0.0"
"2021-04-«œ","Ω”πË√ﬂ","938049","1361853800","836032","12.2","1364828000","-0.2","958591","-2.1","1310311036","3.9"
